student_id,name,email,password,phone,date_of_birth,gender,blood_group,address,department,program,batch,current_semester,credit_completed,total_credits,cgpa,admission_date,guardian_name,guardian_phone,guardian_relation,total_payable,total_paid,total_due,payment_status
1049,Silas Howard,silas.h@example.com,pass123,01711111160,1999-02-28,Male,A-,505 Maple St,Economics,B.S. in Economics,2021,5,60,120,3.3,2021-09-01,Joyce Howard,01722222271,Mother,150000,150000,0,Paid
1050,Ruby Nelson,ruby.n@example.com,pass123,01711111161,1998-05-20,Female,O+,606 Cedar Ln,Computer Science,B.Sc. in CSE,2021,5,60,120,3.6,2021-09-01,James Nelson,01722222272,Father,150000,105000,45000,Due
1051,Wyatt Turner,wyatt.t@example.com,pass123,01711111162,2000-08-11,Male,AB+,707 Birch Ave,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.2,2021-09-01,Patricia Turner,01722222273,Mother,150000,150000,0,Paid
1052,Serena Baker,serena.b@example.com,pass123,01711111163,1999-03-07,Female,B-,808 Willow Rd,Business Administration,BBA,2021,5,60,120,3.8,2021-09-01,David Baker,01722222274,Father,150000,140000,10000,Due
1053,Kai Fisher,kai.f@example.com,pass123,01711111164,1998-06-30,Male,A+,909 Elm Ct,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.5,2021-09-01,Elizabeth Fisher,01722222275,Mother,150000,150000,0,Paid
1054,Lila Hayes,lila.h@example.com,pass123,01711111165,2000-11-22,Female,O-,111 Spruce St,Pharmacy,B.Pharm,2021,5,60,120,3.9,2021-09-01,Mark Hayes,01722222276,Father,150000,90000,60000,Due
1055,Milo Brooks,milo.b@example.com,pass123,01711111166,1999-05-17,Male,B+,222 Fir Ln,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Carol Brooks,01722222277,Mother,150000,150000,0,Paid
1056,Naomi Peterson,naomi.p@example.com,pass123,01711111167,1998-09-10,Female,A+,333 Pine Ave,Law,LLB,2021,5,60,120,3.7,2021-09-01,Steven Peterson,01722222278,Father,150000,110000,40000,Due
1057,Leo Foster,leo.f@example.com,pass123,01711111168,2000-01-03,Male,O+,444 Oak Rd,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Mary Foster,01722222279,Mother,150000,150000,0,Paid
1058,Stella Ross,stella.r@example.com,pass123,01711111169,1999-06-25,Female,AB-,555 Maple Ln,Architecture,B.Arch,2021,5,60,120,3.6,2021-09-01,Thomas Ross,01722222280,Father,150000,130000,20000,Due
1059,Connor Griffin,connor.g@example.com,pass123,01711111170,1998-11-18,Male,A-,666 Cedar St,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Susan Griffin,01722222281,Mother,150000,150000,0,Paid
1060,Aurora Richardson,aurora.r@example.com,pass123,01711111171,2000-02-09,Female,B+,777 Birch Dr,Computer Science,B.Sc. in CSE,2021,5,60,120,3.7,2021-09-01,Daniel Richardson,01722222282,Father,150000,100000,50000,Due
1061,Hudson Mitchell,hudson.m@example.com,pass123,01711111172,1999-07-22,Male,O+,888 Willow Ct,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.3,2021-09-01,Lisa Mitchell,01722222283,Mother,150000,150000,0,Paid
1062,Zoe Wright,zoe.w@example.com,pass123,01711111173,1998-12-15,Female,A+,999 Elm St,Business Administration,BBA,2021,5,60,120,3.5,2021-09-01,Richard Wright,01722222284,Father,150000,120000,30000,Due
1063,Julian Cooper,julian.c@example.com,pass123,01711111174,2000-05-08,Male,B-,123 Spruce Ln,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.8,2021-09-01,Cynthia Cooper,01722222285,Mother,150000,150000,0,Paid
1064,Madeline Foster,madeline.f@example.com,pass123,01711111175,1999-10-31,Female,O+,456 Fir Ave,Pharmacy,B.Pharm,2021,5,60,120,3.2,2021-09-01,George Foster,01722222286,Father,150000,90000,60000,Due
1065,Nathan Parker,nathan.p@example.com,pass123,01711111176,1998-03-24,Male,AB+,789 Pine Rd,English,B.A. in English,2021,5,60,120,3.6,2021-09-01,Helen Parker,01722222287,Mother,150000,150000,0,Paid
1066,Eleanor Hughes,eleanor.h@example.com,pass123,01711111177,2000-08-16,Female,A-,101 Oak Ct,Law,LLB,2021,5,60,120,3.9,2021-09-01,John Hughes,01722222288,Father,150000,110000,40000,Due
1067,Isaac Hill,isaac.h@example.com,pass123,01711111178,1999-01-09,Male,B+,202 Maple St,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.3,2021-09-01,Sarah Hill,01722222289,Mother,150000,150000,0,Paid
1068,Sadie Powell,sadie.p@example.com,pass123,01711111179,1998-06-02,Female,O-,303 Cedar Ln,Architecture,B.Arch,2021,5,60,120,3.7,2021-09-01,William Powell,01722222290,Father,150000,130000,20000,Due
1069,Leo King,leo.k@example.com,pass123,01711111180,2000-11-25,Male,AB+,404 Birch Ave,Economics,B.S. in Economics,2021,5,60,120,3.4,2021-09-01,Donna King,01722222291,Mother,150000,150000,0,Paid
1070,Zoe Martinez,zoe.m@example.com,pass123,01711111181,1999-04-16,Female,A+,505 Willow Rd,Computer Science,B.Sc. in CSE,2021,5,60,120,3.6,2021-09-01,Daniel Martinez,01722222292,Father,150000,105000,45000,Due
1071,Caleb Baker,caleb.b@example.com,pass123,01711111182,1998-09-08,Male,B-,606 Elm Ct,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.2,2021-09-01,Laura Baker,01722222293,Mother,150000,150000,0,Paid
1072,Nora Carter,nora.c@example.com,pass123,01711111183,2000-12-01,Female,O+,707 Spruce St,Business Administration,BBA,2021,5,60,120,3.8,2021-09-01,Paul Carter,01722222294,Father,150000,140000,10000,Due
1073,Adam Turner,adam.t@example.com,pass123,01711111184,1999-05-24,Male,A-,808 Fir Ln,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.5,2021-09-01,Mary Turner,01722222295,Mother,150000,150000,0,Paid
1074,Chloe Evans,chloe.e@example.com,pass123,01711111185,1998-10-17,Female,B+,909 Pine Ave,Pharmacy,B.Pharm,2021,5,60,120,3.9,2021-09-01,Robert Evans,01722222296,Father,150000,90000,60000,Due
1075,Ryan White,ryan.w@example.com,pass123,01711111186,2000-03-10,Male,O-,111 Oak Rd,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Lisa White,01722222297,Mother,150000,150000,0,Paid
1076,Grace Lee,grace.l@example.com,pass123,01711111187,1999-08-02,Female,A+,222 Maple Ln,Law,LLB,2021,5,60,120,3.7,2021-09-01,Charles Lee,01722222298,Father,150000,110000,40000,Due
1077,Cole Adams,cole.a@example.com,pass123,01711111188,1998-12-25,Male,B+,333 Cedar St,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Susan Adams,01722222299,Mother,150000,150000,0,Paid
1078,Avery Brooks,avery.b@example.com,pass123,01711111189,2000-07-18,Female,O+,444 Birch Dr,Architecture,B.Arch,2021,5,60,120,3.6,2021-09-01,James Brooks,01722222300,Father,150000,130000,20000,Due
1079,Jackson Parker,jackson.p@example.com,pass123,01711111190,1999-02-11,Male,AB+,555 Willow Ct,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Deborah Parker,01722222301,Mother,150000,150000,0,Paid
1080,Mia Gonzalez,mia.g@example.com,pass123,01711111191,1998-05-04,Female,A-,666 Elm St,Computer Science,B.Sc. in CSE,2021,5,60,120,3.7,2021-09-01,Mark Gonzalez,01722222302,Father,150000,100000,50000,Due
1081,Etwhan Rodriguez,eethan.r@example.com,pass123,01711111192,2000-10-27,Male,B-,777 Spruce Ln,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.3,2021-09-01,Teresa Rodriguez,01722222303,Mother,150000,150000,0,Paid
1082,Sowfia Hall,soefia.h@example.com,pass123,01711111193,1999-03-20,Female,O+,888 Fir Ave,Business Administration,BBA,2021,5,60,120,3.5,2021-09-01,Frank Hall,01722222304,Father,150000,120000,30000,Due
1083,Nowwah Turner,neoah.t@example.com,pass123,01711111194,1998-08-13,Male,A+,999 Pine Rd,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.8,2021-09-01,Karen Turner,01722222305,Mother,150000,150000,0,Paid
1084,Lilwy Carter,liely.c@example.com,pass123,01711111195,2000-01-06,Female,B+,111 Oak Ct,Pharmacy,B.Pharm,2021,5,60,120,3.2,2021-09-01,Paul Carter,01722222306,Father,150000,90000,60000,Due
1085,Dylan Phillips,deylan.p@example.com,pass123,01711111196,1999-06-29,Male,AB+,222 Maple St,English,B.A. in English,2021,5,60,120,3.6,2021-09-01,Linda Phillips,01722222307,Mother,150000,150000,0,Paid
1086,Chloe Evans,chleoe.e@example.com,pass123,01711111197,1998-11-22,Female,O-,333 Cedar Ln,Law,LLB,2021,5,60,120,3.9,2021-09-01,David Evans,01722222308,Father,150000,110000,40000,Due
1087,Mason Bell,maseon.b@example.com,pass123,01711111198,2000-04-15,Male,A+,444 Birch Ave,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Patricia Bell,01722222309,Mother,150000,150000,0,Paid
1088,Harper Foster,haerper.f@example.com,pass123,01711111199,1999-09-07,Female,B+,555 Willow Rd,Architecture,B.Arch,2021,5,60,120,3.7,2021-09-01,James Foster,01722222310,Father,150000,130000,20000,Due
1089,Leo Hill,leeo.h@example.com,pass123,01711111200,1998-02-28,Male,O+,666 Elm Ct,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Susan Hill,01722222311,Mother,150000,150000,0,Paid
1090,Layla King,leayla.k@example.com,pass123,01711111201,2000-07-21,Female,A-,777 Spruce St,Computer Science,B.Sc. in CSE,2021,5,60,120,3.6,2021-09-01,Robert King,01722222312,Father,150000,105000,45000,Due
1091,Elijah Clark,eelijah.c@example.com,pass123,01711111202,1999-12-14,Male,AB+,888 Fir Ln,Electrical Engineering,B.Sc. in EEE,2021,5,60,120,3.2,2021-09-01,Mary Clark,01722222313,Mother,150000,150000,0,Paid
1092,Isabella Hall,iseabella.h@example.com,pass123,01711111203,1998-05-07,Female,O-,999 Pine Ave,Business Administration,BBA,2021,5,60,120,3.8,2021-09-01,Charles Hall,01722222314,Father,150000,140000,10000,Due
1093,Connor Torres,ceonnor.t@example.com,pass123,01711111204,2000-10-30,Male,A+,111 Oak Rd,Mechanical Engineering,B.Sc. in ME,2021,5,60,120,3.5,2021-09-01,Jennifer Torres,01722222315,Mother,150000,150000,0,Paid
1094,Aria Scott,areia.s@example.com,pass123,01711111205,1999-03-23,Female,B+,222 Maple Ln,Pharmacy,B.Pharm,2021,5,60,120,3.9,2021-09-01,Michael Scott,01722222316,Father,150000,90000,60000,Due
1095,Levi Hill,leevi.h@example.com,pass123,01711111206,1998-08-15,Male,A-,333 Cedar St,English,B.A. in English,2021,5,60,120,3.3,2021-09-01,Donna Hill,01722222317,Mother,150000,150000,0,Paid
1096,Violet Cooper,veiolet.c@example.com,pass123,01711111207,2000-01-08,Female,O+,444 Birch Dr,Law,LLB,2021,5,60,120,3.7,2021-09-01,Frank Cooper,01722222318,Father,150000,110000,40000,Due
1097,Asher Gonzalez,aesher.g@example.com,pass123,01711111208,1999-06-01,Male,B+,555 Willow Ct,Civil Engineering,B.Sc. in CE,2021,5,60,120,3.4,2021-09-01,Laura Gonzalez,01722222319,Mother,150000,150000,0,Paid
1098,Hannah Baker,haennah.b@example.com,pass123,01711111209,1998-11-24,Female,AB-,666 Elm St,Architecture,B.Arch,2021,5,60,120,3.6,2021-09-01,Paul Baker,01722222320,Father,150000,130000,20000,Due
1099,Eli Jackson,elei.j@example.com,pass123,01711111210,2000-04-17,Male,A+,777 Spruce Ln,Economics,B.S. in Economics,2021,5,60,120,3.1,2021-09-01,Susan Jackson,01722222321,Mother,150000,150000,0,Paid
